STATE	LOCALITY_PID	POSTCODE	LOCALITY_NAME	LONGITUDE	LATITUDE
NSW	loc6ee0a61ea4ee	2701	COOLAMON	147.1926247	-34.81500959
NSW	loc6eebcf8ad25f	2560	GILEAD	150.77838347	-34.13960026
NSW	loc6f8d1614feb7	2323	BRUNKERVILLE	151.48669924	-32.95353062
NSW	loc6fe8c4e8ebdf	2680	WIDGELLI	146.15184108	-34.35788603
NSW	loc70159216e9d9	2738	MONAK	142.290686	-34.2978282
NSW	loc701a3d2ec24c	2671	WYALONG	147.30012701	-33.9176713
NSW	loc70fb2e6593ff	2871	FAIRHOLME	147.37580602	-33.29881028
NSW	loc71afe1a0b27b	2328	BUREEN	150.735589	-32.46911618
NSW	loca55bd7bc07e2	2550	BEMBOKA	149.56349207	-36.60523094
NSW	loca69e4cac9c27	2148	ARNDELL PARK	150.88308373	-33.79049444
NSW	locc28a9c36431f	2762	SCHOFIELDS	150.86709276	-33.70273895
NSW	loc841f473672f1	2304	MAYFIELD EAST	151.74992839	-32.90023094
NSW	loc9f60930cb095	2261	TOOWOON BAY	151.49761892	-33.36267615
NSW	loc9f6e29ba3f26	2840	ENNGONIA	145.94197376	-29.25375937
NSW	loc9feef9e565d0	2540	MYOLA	150.6763421	-35.02269783
NSW	loca0217d4d0af8	2868	YEOVAL	148.60450446	-32.76593864
NSW	loca02d83aa36e1	2463	THE SANDON	153.29482057	-29.66521046
NSW	locc70463b60b1b	2839	GONGOLGON	146.87128818	-30.45327096
NSW	locc71c3763f9c3	2539	CROOBYAR	150.39428731	-35.32146678
NSW	locc72511b7a697	2328	MANGOOLA	150.72884091	-32.31821217
NSW	locc7564e4ad96d	2404	KEERA	150.75787496	-30.03882281
NSW	locc7627b153d98	2620	ROYALLA	149.16898835	-35.49251401
NSW	locc853746338e7	2629	ADAMINABY	148.78487252	-36.01164403
NSW	locc89e726a36db	2265	COORANBONG	151.46391251	-33.05006822
NSW	locd617994641d5	2754	NORTH RICHMOND	150.72129522	-33.56779836
NSW	loc9b31f1403b78	2727	COOLAC	148.21188895	-34.91040845
NSW	locb7c4425a754f	2227	GYMEA	151.08565852	-34.03442414
NSW	locb094042a0875	2622	BORO	149.69646233	-35.20198616
NSW	loc172f8478104b	2559	CLAYMORE	150.81093199	-34.04639023
NSW	loc6de2fec07ce6	2113	NORTH RYDE	151.12950382	-33.7966646
NSW	loc23edf552fc5a	2538	MORTON	150.31066711	-35.41297425
NSW	loc28d69acbb4ac	2731	THYRA	144.74399662	-35.8448582
NSW	loc91adfb5090da	2710	MATHOURA	144.86233488	-35.80902154
NSW	loc9f9edf963b87	2165	FAIRFIELD	150.95239936	-33.87125573
NSW	loca332ec6d538d	2317	PORT STEPHENS	152.05769647	-32.70131439
NSW	loc3f5989095b0a	2722	RENO	148.04195136	-35.00458506
NSW	loc4034d30b36af	2317	SALAMANDER BAY	152.09001537	-32.7330342
NSW	loc40499ef8ce24	2470	BABYL CREEK	152.79310238	-28.72397096
NSW	loc406a8cdb0ec4	2429	FIREFLY	152.22767231	-32.08748277
NSW	loc4162181a36ae	2337	SEGENHOE	150.92564875	-32.07219944
NSW	loc4178cd1c0955	2481	EWINGSDALE	153.54903083	-28.63432509
NSW	loc41a8cee62b20	2250	NIAGARA PARK	151.3514689	-33.37753191
NSW	loc43353f7420e0	2224	SYLVANIA WATERS	151.11026242	-34.01779931
NSW	loc4937408869d0	2083	BROOKLYN	151.21422045	-33.58214811
NSW	loc46592a69d095	2732	THULE	144.40607387	-35.68491713
NSW	loc49c54cd2b15a	2765	BERKSHIRE PARK	150.77521059	-33.67279915
NSW	loc4b5ddfd386f7	2627	MOONBAH	148.56005094	-36.51037918
NSW	loc1edb3c47e8b6	2224	SYLVANIA	151.10183481	-34.01215365
NSW	loc1ede677690c3	2423	WANG WAUK	152.28149856	-32.14262006
NSW	loc02b6f951e9b4	2777	WINMALEE	150.61218863	-33.67692982
NSW	loc12278fbf274f	2650	SPRINGVALE	147.33177651	-35.17397018
NSW	loc6e422a3dd7a9	2283	LAKE MACQUARIE	151.59100548	-33.07648735
NSW	locb27b1d394166	2869	PEAK HILL	148.0501951	-32.71162805
NSW	loc80093f2cf6c0	2577	NEW BERRIMA	150.33407335	-34.50843059
NSW	loc811b21f4cd8e	2675	HILLSTON	145.43655332	-33.43889695
NSW	loc813d510dfd9e	2594	MONTEAGLE	148.34482513	-34.16510869
NSW	loc84a39ac59223	2120	PENNANT HILLS	151.07412883	-33.73844939
NSW	loc8787c6db0193	2582	YASS RIVER	149.12184805	-34.92461318
NSW	loc87ec44c3480f	2540	FALLS CREEK	150.59338455	-34.9977921
NSW	loc87f287a4a62a	2745	LUDDENHAM	150.71008851	-33.86326765
NSW	loc8ab8142b1cc6	2474	EDEN CREEK	152.90741526	-28.58506616
